Año;Periodo;Total
1980;Año;1.652
1981;Año;1.718
1982;Año;1.851
1983;Año;2.181
1984;Año;2.493
1985;Año;2.514
1986;Año;2.755
1987;Año;2.804
1988;Año;2.960
1989;Año;2.987
1990;Año;2.939
1991;Año;2.916
1992;Año;2.786
1993;Año;3.037
1994;Año;3.171
1995;Año;3.157
1996;Año;3.320
1997;Año;3.373
1998;Año;3.261
1999;Año;3.218
2000;Año;3.393
2001;Año;3.189
2002;Año;3.371
2003;Año;3.478
2004;Año;3.507
2005;Año;3.399
2006;Año;3.246
2007;Año;3.263
2008;Año;3.457
2009;Año;3.429
2010;Año;3.158
2011;Año;3.180
2012;Año;3.539
2013;Año;3.870
2014;Año;3.910
2015;Año;3.602
2016;Año;3.569
2017;Año;3.679
2018;Año;3.539
2019;Año;3.671
2020;Año;3.941
2021;Año;4.003